panel,time_step,avg_return,n_attackers,attack_mode,n_targets
a,0,3.774968237261731,1,static,1
a,1,4.144252649424746,1,static,1
a,2,4.289181434471205,1,static,1
a,3,4.402993618692145,1,static,1
a,4,4.589021593099067,1,static,1
a,5,4.641963367144176,1,static,1
a,6,4.6787590235984835,1,static,1
a,7,4.7155685822895546,1,static,1
a,8,4.780146583557997,1,static,1
a,9,4.807835113681843,1,static,1
a,10,4.835289268935555,1,static,1
a,11,4.862372503244578,1,static,1
a,12,4.886986805076591,1,static,1
a,13,4.895908413759471,1,static,1
a,14,4.8962633406589555,1,static,1
a,15,4.923953672911818,1,static,1
a,16,4.922603024389867,1,static,1
a,17,4.921549249925014,1,static,1
a,18,4.918116186716119,1,static,1
a,19,4.943598579464911,1,static,1
a,20,4.951139964897133,1,static,1
a,21,4.9551489088360565,1,static,1
a,22,4.95423761070018,1,static,1
a,23,4.960182407265209,1,static,1
a,24,4.946490125079033,1,static,1
a,25,4.940314035113805,1,static,1
a,26,4.949492575228297,1,static,1
a,27,4.9577479201660095,1,static,1
a,28,4.955252906450543,1,static,1
a,29,4.958823724245588,1,static,1
a,30,4.9647891054672435,1,static,1
a,31,4.967864072054841,1,static,1
a,32,4.977306296769095,1,static,1
a,33,4.983641245529704,1,static,1
a,34,4.9918485743766485,1,static,1
a,35,4.998502173020881,1,static,1
a,36,5.003658039791084,1,static,1
a,37,5.000998048788828,1,static,1
a,38,5.011092064841558,1,static,1
a,39,5.013916602449912,1,static,1
a,40,5.0153353099623255,1,static,1
a,41,5.010514626212237,1,static,1
a,42,5.013384347523272,1,static,1
a,43,5.0190897235658145,1,static,1
a,44,5.016373567377332,1,static,1
a,45,5.013694008514129,1,static,1
a,46,5.015910517194996,1,static,1
a,47,5.015280607959319,1,static,1
a,48,5.016707921608116,1,static,1
a,49,5.022256994410187,1,static,1
a,50,5.0262537606737485,1,static,1
a,51,5.03260941131545,1,static,1
a,52,5.028392264418486,1,static,1
a,53,5.025929061469733,1,static,1
a,54,5.027567538538283,1,static,1
a,55,5.02768657613485,1,static,1
a,56,5.024477021865438,1,static,1
a,57,5.024098826730133,1,static,1
a,58,5.0305440947900575,1,static,1
a,59,5.034715028843052,1,static,1
a,60,5.039112477650209,1,static,1
a,61,5.040671346742319,1,static,1
a,62,5.042162306067369,1,static,1
a,63,5.043929172704972,1,static,1
a,64,5.04505954757156,1,static,1
a,65,5.044197854627084,1,static,1
a,66,5.049106835066161,1,static,1
a,67,5.049750624393016,1,static,1
a,68,5.051845270014653,1,static,1
a,69,5.05286135035342,1,static,1
a,70,5.050125041308007,1,static,1
a,71,5.0529449516906855,1,static,1
a,72,5.049130681993203,1,static,1
a,73,5.054087695525836,1,static,1
a,74,5.05548358245918,1,static,1
a,75,5.055430866660745,1,static,1
a,76,5.054879547197364,1,static,1
a,77,5.053116594315383,1,static,1
a,78,5.0538803432048605,1,static,1
a,79,5.0502191629831135,1,static,1
a,80,5.048001587100652,1,static,1
a,81,5.048150045022934,1,static,1
a,82,5.047694358873095,1,static,1
a,83,5.051716863466851,1,static,1
a,84,5.053787467847788,1,static,1
a,85,5.054408882199628,1,static,1
a,86,5.050906772902656,1,static,1
a,87,5.052180591291107,1,static,1
a,88,5.0528564759152745,1,static,1
a,89,5.052315672583951,1,static,1
a,90,5.054509289868793,1,static,1
a,91,5.055360435617644,1,static,1
a,92,5.052299117814258,1,static,1
a,93,5.054977914746015,1,static,1
a,94,5.05926292394911,1,static,1
a,95,5.059277681291703,1,static,1
a,96,5.063751289794235,1,static,1
a,97,5.06568085699218,1,static,1
a,98,5.0678190854261365,1,static,1
a,99,5.065347324252661,1,static,1
a,0,3.830478514370973,3,static,1
a,1,4.163203458281117,3,static,1
a,2,4.369308770974409,3,static,1
a,3,4.401118743199415,3,static,1
a,4,4.565636477547229,3,static,1
a,5,4.648273669266676,3,static,1
a,6,4.723082727392039,3,static,1
a,7,4.813052882071498,3,static,1
a,8,4.842043992758987,3,static,1
a,9,4.849071743024215,3,static,1
a,10,4.8843526972244335,3,static,1
a,11,4.90622050886756,3,static,1
a,12,4.92046809263013,3,static,1
a,13,4.919350379571759,3,static,1
a,14,4.938783316235216,3,static,1
a,15,4.9264742582409475,3,static,1
a,16,4.9372185457281095,3,static,1
a,17,4.927606752264016,3,static,1
a,18,4.944415008423583,3,static,1
a,19,4.955631864174114,3,static,1
a,20,4.970277888458371,3,static,1
a,21,4.976418078685155,3,static,1
a,22,4.976247206621733,3,static,1
a,23,4.9751312016526645,3,static,1
a,24,4.986447340874266,3,static,1
a,25,5.00205776995031,3,static,1
a,26,5.01333116827779,3,static,1
a,27,5.023992537247073,3,static,1
a,28,5.023083799703429,3,static,1
a,29,5.0305662878518715,3,static,1
a,30,5.022537193938474,3,static,1
a,31,5.02566182482069,3,static,1
a,32,5.0233920730363355,3,static,1
a,33,5.0286743701325545,3,static,1
a,34,5.029642944312736,3,static,1
a,35,5.036549996062644,3,static,1
a,36,5.039220010910209,3,static,1
a,37,5.048076014885879,3,static,1
a,38,5.054087366639693,3,static,1
a,39,5.059585425613274,3,static,1
a,40,5.059050037736982,3,static,1
a,41,5.062033019548313,3,static,1
a,42,5.0548764857543595,3,static,1
a,43,5.060277865697483,3,static,1
a,44,5.057896060035193,3,static,1
a,45,5.059960810577747,3,static,1
a,46,5.063680657636934,3,static,1
a,47,5.066040136855026,3,static,1
a,48,5.069607202886968,3,static,1
a,49,5.0712715629000416,3,static,1
a,50,5.0683430773796925,3,static,1
a,51,5.068291403751958,3,static,1
a,52,5.076323039494987,3,static,1
a,53,5.076726866021814,3,static,1
a,54,5.082803953195023,3,static,1
a,55,5.079840380330074,3,static,1
a,56,5.082019376592111,3,static,1
a,57,5.083542401948788,3,static,1
a,58,5.0841812353069935,3,static,1
a,59,5.081451123750406,3,static,1
a,60,5.084941669843832,3,static,1
a,61,5.083105650693033,3,static,1
a,62,5.084616714583298,3,static,1
a,63,5.089791018296976,3,static,1
a,64,5.095695872723167,3,static,1
a,65,5.095937692405717,3,static,1
a,66,5.096082812464395,3,static,1
a,67,5.090782504958774,3,static,1
a,68,5.088154237175733,3,static,1
a,69,5.086755881723815,3,static,1
a,70,5.088554997869066,3,static,1
a,71,5.089148449794005,3,static,1
a,72,5.090431071842999,3,static,1
a,73,5.086993473252588,3,static,1
a,74,5.0902492955665934,3,static,1
a,75,5.091568522591393,3,static,1
a,76,5.092052487889872,3,static,1
a,77,5.087554640677076,3,static,1
a,78,5.088483590353085,3,static,1
a,79,5.085607959464612,3,static,1
a,80,5.081310141026338,3,static,1
a,81,5.080826197814346,3,static,1
a,82,5.0852510898094545,3,static,1
a,83,5.087715001798331,3,static,1
a,84,5.089053125707176,3,static,1
a,85,5.091974416622173,3,static,1
a,86,5.0907252925226825,3,static,1
a,87,5.091286173066139,3,static,1
a,88,5.089546444311585,3,static,1
a,89,5.091472606521652,3,static,1
a,90,5.092634035165677,3,static,1
a,91,5.093009664029795,3,static,1
a,92,5.0927118962781455,3,static,1
a,93,5.0891339179185655,3,static,1
a,94,5.089081481530077,3,static,1
a,95,5.091428610929616,3,static,1
a,96,5.093153749375107,3,static,1
a,97,5.092082527018448,3,static,1
a,98,5.094263871854842,3,static,1
a,99,5.096213800857107,3,static,1
a,0,3.678618359850893,5,static,1
a,1,3.8668970349008056,5,static,1
a,2,3.7881064997809992,5,static,1
a,3,4.044394705425972,5,static,1
a,4,4.234174581468808,5,static,1
a,5,4.419775440756227,5,static,1
a,6,4.510780693786265,5,static,1
a,7,4.579823449491624,5,static,1
a,8,4.619323122573105,5,static,1
a,9,4.667774555793711,5,static,1
a,10,4.66688034737711,5,static,1
a,11,4.701961604967235,5,static,1
a,12,4.74980184035029,5,static,1
a,13,4.755790834234759,5,static,1
a,14,4.787305639622191,5,static,1
a,15,4.804589198773907,5,static,1
a,16,4.812466215984479,5,static,1
a,17,4.849994513533346,5,static,1
a,18,4.8551766283793185,5,static,1
a,19,4.878288409900799,5,static,1
a,20,4.892198510443792,5,static,1
a,21,4.914145975114916,5,static,1
a,22,4.921295082605796,5,static,1
a,23,4.926214818572497,5,static,1
a,24,4.931594876412202,5,static,1
a,25,4.938550963417969,5,static,1
a,26,4.945004177690423,5,static,1
a,27,4.958416321469265,5,static,1
a,28,4.955507829518597,5,static,1
a,29,4.968570831884465,5,static,1
a,30,4.973501365917246,5,static,1
a,31,4.971371871029778,5,static,1
a,32,4.969474856854942,5,static,1
a,33,4.980734526700228,5,static,1
a,34,4.982636328548186,5,static,1
a,35,4.978211325624873,5,static,1
a,36,4.977196132070443,5,static,1
a,37,4.977687685410687,5,static,1
a,38,4.981698821448935,5,static,1
a,39,4.982503385360962,5,static,1
a,40,4.992354572656566,5,static,1
a,41,4.995555594382891,5,static,1
a,42,4.9981955238008124,5,static,1
a,43,5.001566269659498,5,static,1
a,44,4.998617094523322,5,static,1
a,45,4.9947128627545165,5,static,1
a,46,4.993485585628462,5,static,1
a,47,4.997202259880083,5,static,1
a,48,5.005101680060522,5,static,1
a,49,5.006198407005338,5,static,1
a,50,5.010690367148179,5,static,1
a,51,5.007389787761222,5,static,1
a,52,5.014142786525461,5,static,1
a,53,5.0191605852894945,5,static,1
a,54,5.02310598197173,5,static,1
a,55,5.01770469575242,5,static,1
a,56,5.0172698197207595,5,static,1
a,57,5.018241012395406,5,static,1
a,58,5.0184609933432425,5,static,1
a,59,5.0214061829995735,5,static,1
a,60,5.024008354899379,5,static,1
a,61,5.020963430261358,5,static,1
a,62,5.0268294291644935,5,static,1
a,63,5.028614779285602,5,static,1
a,64,5.029714179786,5,static,1
a,65,5.032758816586798,5,static,1
a,66,5.03819578313743,5,static,1
a,67,5.038956980492806,5,static,1
a,68,5.038999156964131,5,static,1
a,69,5.039242726096103,5,static,1
a,70,5.04231300339431,5,static,1
a,71,5.042766946902451,5,static,1
a,72,5.044294328486326,5,static,1
a,73,5.045451146214039,5,static,1
a,74,5.040722031296652,5,static,1
a,75,5.043843123976039,5,static,1
a,76,5.044082440257242,5,static,1
a,77,5.0420718099976005,5,static,1
a,78,5.039675841929838,5,static,1
a,79,5.034948320079352,5,static,1
a,80,5.034577412986702,5,static,1
a,81,5.032731394233474,5,static,1
a,82,5.031686593461725,5,static,1
a,83,5.037285396661295,5,static,1
a,84,5.0338939231887485,5,static,1
a,85,5.033242327952302,5,static,1
a,86,5.036081141898274,5,static,1
a,87,5.038286325372727,5,static,1
a,88,5.0392797518344485,5,static,1
a,89,5.038588945297546,5,static,1
a,90,5.038579955461062,5,static,1
a,91,5.039852935344381,5,static,1
a,92,5.037968623281093,5,static,1
a,93,5.039551200397639,5,static,1
a,94,5.035710818610215,5,static,1
a,95,5.035359852730501,5,static,1
a,96,5.035246643430976,5,static,1
a,97,5.033967880870142,5,static,1
a,98,5.033568379238901,5,static,1
a,99,5.0348760879551655,5,static,1
b,0,3.740839145443925,1,dynamic,1
b,1,4.168004005943718,1,dynamic,1
b,2,4.248211761939134,1,dynamic,1
b,3,4.457085436741408,1,dynamic,1
b,4,4.599877817334102,1,dynamic,1
b,5,4.706305415040338,1,dynamic,1
b,6,4.750321026582725,1,dynamic,1
b,7,4.760657416483747,1,dynamic,1
b,8,4.795784758649255,1,dynamic,1
b,9,4.813272233915093,1,dynamic,1
b,10,4.860377378319213,1,dynamic,1
b,11,4.875545228166103,1,dynamic,1
b,12,4.882223383770417,1,dynamic,1
b,13,4.870793793733461,1,dynamic,1
b,14,4.880566458841885,1,dynamic,1
b,15,4.905258593735649,1,dynamic,1
b,16,4.927486364491573,1,dynamic,1
b,17,4.936271211140658,1,dynamic,1
b,18,4.9176267762776735,1,dynamic,1
b,19,4.942032006664143,1,dynamic,1
b,20,4.950051698668631,1,dynamic,1
b,21,4.953182259805192,1,dynamic,1
b,22,4.944633760452824,1,dynamic,1
b,23,4.927840340293936,1,dynamic,1
b,24,4.922529264727267,1,dynamic,1
b,25,4.923831003771759,1,dynamic,1
b,26,4.934008644224348,1,dynamic,1
b,27,4.950275301482894,1,dynamic,1
b,28,4.9552430905068645,1,dynamic,1
b,29,4.945494220774392,1,dynamic,1
b,30,4.942953075177318,1,dynamic,1
b,31,4.940889287849682,1,dynamic,1
b,32,4.9485221288554015,1,dynamic,1
b,33,4.949738730481394,1,dynamic,1
b,34,4.9573361046447415,1,dynamic,1
b,35,4.965073674349827,1,dynamic,1
b,36,4.9681491236867865,1,dynamic,1
b,37,4.969960403667554,1,dynamic,1
b,38,4.980761244170198,1,dynamic,1
b,39,4.980770566392926,1,dynamic,1
b,40,4.990554123776297,1,dynamic,1
b,41,4.993268816047056,1,dynamic,1
b,42,4.989963630225654,1,dynamic,1
b,43,4.9960390182102605,1,dynamic,1
b,44,4.997275719989144,1,dynamic,1
b,45,4.99956958533791,1,dynamic,1
b,46,4.999600296799383,1,dynamic,1
b,47,4.996764718130634,1,dynamic,1
b,48,5.002982297434538,1,dynamic,1
b,49,5.008240341468865,1,dynamic,1
b,50,5.009355452400533,1,dynamic,1
b,51,5.007566121257891,1,dynamic,1
b,52,5.002283665294877,1,dynamic,1
b,53,5.001461520204494,1,dynamic,1
b,54,5.001036946008873,1,dynamic,1
b,55,4.997524149863009,1,dynamic,1
b,56,5.000438307139947,1,dynamic,1
b,57,5.004113630315294,1,dynamic,1
b,58,5.014915046792372,1,dynamic,1
b,59,5.017588431293191,1,dynamic,1
b,60,5.018145882280016,1,dynamic,1
b,61,5.017295045084818,1,dynamic,1
b,62,5.018047562772406,1,dynamic,1
b,63,5.018212887702081,1,dynamic,1
b,64,5.021915369676453,1,dynamic,1
b,65,5.024269531302051,1,dynamic,1
b,66,5.024018602695708,1,dynamic,1
b,67,5.025707752864151,1,dynamic,1
b,68,5.024951848277993,1,dynamic,1
b,69,5.027793270922609,1,dynamic,1
b,70,5.031781795254253,1,dynamic,1
b,71,5.035665829634251,1,dynamic,1
b,72,5.031341284074062,1,dynamic,1
b,73,5.035078741376017,1,dynamic,1
b,74,5.037107703139258,1,dynamic,1
b,75,5.037721753556467,1,dynamic,1
b,76,5.037620169923354,1,dynamic,1
b,77,5.037399188231487,1,dynamic,1
b,78,5.0435974707495745,1,dynamic,1
b,79,5.039797722059294,1,dynamic,1
b,80,5.040825973816843,1,dynamic,1
b,81,5.043162332060965,1,dynamic,1
b,82,5.0425512052883965,1,dynamic,1
b,83,5.046690695963754,1,dynamic,1
b,84,5.050509831546715,1,dynamic,1
b,85,5.052990440896004,1,dynamic,1
b,86,5.050039199173426,1,dynamic,1
b,87,5.049990192796473,1,dynamic,1
b,88,5.051113387898898,1,dynamic,1
b,89,5.0498293277178306,1,dynamic,1
b,90,5.050478573189152,1,dynamic,1
b,91,5.0492251121184815,1,dynamic,1
b,92,5.05261800474543,1,dynamic,1
b,93,5.052468009206833,1,dynamic,1
b,94,5.056108291424302,1,dynamic,1
b,95,5.052502792657598,1,dynamic,1
b,96,5.053034505994909,1,dynamic,1
b,97,5.051155241951954,1,dynamic,1
b,98,5.054641617514941,1,dynamic,1
b,99,5.052996799790123,1,dynamic,1
b,0,3.766887717385789,3,dynamic,1
b,1,3.855947094542727,3,dynamic,1
b,2,3.7805550716860608,3,dynamic,1
b,3,3.880145090945356,3,dynamic,1
b,4,4.061997247041807,3,dynamic,1
b,5,4.204350721053577,3,dynamic,1
b,6,4.337616087640803,3,dynamic,1
b,7,4.423311801815293,3,dynamic,1
b,8,4.5111965974905175,3,dynamic,1
b,9,4.5641138184122845,3,dynamic,1
b,10,4.620892099247684,3,dynamic,1
b,11,4.680861477078131,3,dynamic,1
b,12,4.713550758823375,3,dynamic,1
b,13,4.732328566787646,3,dynamic,1
b,14,4.753496233035599,3,dynamic,1
b,15,4.774331356180155,3,dynamic,1
b,16,4.786668736864423,3,dynamic,1
b,17,4.790671053647738,3,dynamic,1
b,18,4.794981876512289,3,dynamic,1
b,19,4.82080724053108,3,dynamic,1
b,20,4.8379300680233035,3,dynamic,1
b,21,4.852307727278709,3,dynamic,1
b,22,4.865297533881258,3,dynamic,1
b,23,4.872515023786323,3,dynamic,1
b,24,4.876712864047808,3,dynamic,1
b,25,4.892812953493142,3,dynamic,1
b,26,4.908561806087393,3,dynamic,1
b,27,4.928507419367004,3,dynamic,1
b,28,4.9370602978346145,3,dynamic,1
b,29,4.9489569166345015,3,dynamic,1
b,30,4.954774909389839,3,dynamic,1
b,31,4.9563134822028525,3,dynamic,1
b,32,4.959253343898777,3,dynamic,1
b,33,4.95594294932549,3,dynamic,1
b,34,4.966312921636148,3,dynamic,1
b,35,4.975003083572439,3,dynamic,1
b,36,4.973834745347823,3,dynamic,1
b,37,4.972507677959439,3,dynamic,1
b,38,4.968049361150597,3,dynamic,1
b,39,4.974790038301428,3,dynamic,1
b,40,4.980727335802367,3,dynamic,1
b,41,4.987624871995367,3,dynamic,1
b,42,4.989023119277692,3,dynamic,1
b,43,4.996090564882404,3,dynamic,1
b,44,5.001952897728753,3,dynamic,1
b,45,5.002278973553646,3,dynamic,1
b,46,5.0012286250239,3,dynamic,1
b,47,5.006934307888684,3,dynamic,1
b,48,5.007998648263909,3,dynamic,1
b,49,5.018965615469744,3,dynamic,1
b,50,5.022065375162965,3,dynamic,1
b,51,5.026305464660879,3,dynamic,1
b,52,5.028727518087299,3,dynamic,1
b,53,5.031076275215876,3,dynamic,1
b,54,5.036809253786418,3,dynamic,1
b,55,5.0355068677848775,3,dynamic,1
b,56,5.044422929353137,3,dynamic,1
b,57,5.044606018031218,3,dynamic,1
b,58,5.0377324688773895,3,dynamic,1
b,59,5.03428933286121,3,dynamic,1
b,60,5.038305080792679,3,dynamic,1
b,61,5.033862370224597,3,dynamic,1
b,62,5.035205976099147,3,dynamic,1
b,63,5.036351356103815,3,dynamic,1
b,64,5.041515358427495,3,dynamic,1
b,65,5.0413845000740825,3,dynamic,1
b,66,5.045170979582156,3,dynamic,1
