t,q_1,q_2,q_3
0,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
1,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
2,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
3,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
4,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
5,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
6,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
7,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
8,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
9,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
10,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
11,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
12,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
13,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
14,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
15,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
16,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
17,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
18,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
19,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
20,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
21,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
22,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
23,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
24,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
25,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
26,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
27,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
28,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
29,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
30,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
31,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
32,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
33,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
34,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
35,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
36,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
37,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
38,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
39,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
40,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
41,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
42,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
43,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
44,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
45,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
46,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
47,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
48,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
49,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
50,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
51,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
52,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
53,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
54,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
55,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
56,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
57,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
58,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
59,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
60,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
61,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
62,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
63,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
64,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
65,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
66,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
67,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
68,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
69,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
70,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
71,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
72,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
73,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
74,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
75,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
76,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
77,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
78,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
79,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
80,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
81,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
82,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
83,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
84,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
85,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
86,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
87,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
88,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
89,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
90,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
91,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
92,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
93,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
94,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
95,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
96,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
97,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
98,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
99,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
100,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
101,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
102,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
103,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
104,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
105,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
106,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
107,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
108,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
109,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
110,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
111,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
112,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
113,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
114,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
115,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
116,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
117,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
118,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
119,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
120,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
121,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
122,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
123,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
124,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
125,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
126,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
127,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
128,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
129,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
130,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
131,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
132,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
133,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
134,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
135,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
136,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
137,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
138,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
139,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
140,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
141,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
142,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
143,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
144,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
145,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
146,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
147,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
148,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
149,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
150,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
151,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
152,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
153,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
154,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
155,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
156,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
157,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
158,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
159,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
160,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
161,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
162,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
163,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
164,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
165,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
166,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
167,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
168,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
169,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
170,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
171,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
172,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
173,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
174,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
175,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
176,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
177,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
178,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
179,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
180,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
181,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
182,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
183,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
184,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
185,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
186,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
187,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
188,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
189,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
190,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
191,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
192,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
193,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
194,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
195,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
196,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
197,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
198,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
199,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
200,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
201,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
202,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
203,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
204,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
205,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
206,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
207,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
208,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
209,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
210,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
211,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
212,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
213,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
214,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
215,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
216,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
217,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
218,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
219,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
220,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
221,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
222,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
223,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
224,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
225,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
226,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
227,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
228,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
229,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
230,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
231,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
232,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
233,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
234,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
235,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
236,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
237,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
238,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
239,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
240,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
241,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
242,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
243,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
244,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
245,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
246,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
247,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
248,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
249,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
250,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
251,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
252,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
253,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
254,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
255,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
256,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
257,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
258,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
259,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
260,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
261,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
262,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
263,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
264,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
265,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
266,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
267,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
268,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
269,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
270,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
271,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
272,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
273,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
274,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
275,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
276,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
277,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
278,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
279,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
280,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
281,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
282,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
283,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
284,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
285,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
286,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
287,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
288,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
289,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
290,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
291,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
292,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
293,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
294,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
295,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
296,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
297,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
298,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
299,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
300,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
301,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
302,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
303,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
304,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
305,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
306,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
307,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
308,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
309,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
310,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
311,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
312,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
313,0.9257529174238867,0.07421704460023987,3.0037975874680683e-05
