t,UD,SAL
0,3.88,5.6066
1,4.7185,5.6129
2,4.9582,5.0034
3,5.0333,5.035
4,5.1088,4.5291
5,5.1632,4.9666
6,5.4264,4.7091
7,4.9269,4.7667
8,5.0234,4.3506
9,5.4149,4.8317
10,5.4469,5.2944
11,5.4169,4.5669
12,5.2422,4.9215
13,5.3414,4.8589
14,5.2902,4.2357
15,5.2695,4.5059
16,5.3956,5.1872
17,4.9535,4.9125
18,5.0661,4.6303
19,5.278,4.7744
20,5.2533,4.7821
21,5.1217,4.6995
22,5.0282,5.0706
23,5.0625,5.2426
24,5.2743,4.7824
25,5.3469,4.6688
26,5.1109,5.1253
27,5.0935,4.9026
28,5.2408,5.019
29,5.0533,4.9158
30,5.0548,4.7061
31,5.4112,5.0545
32,5.1866,4.8418
33,5.2039,4.2815
34,5.482,4.9495
35,5.346,4.2006
36,5.0739,4.6009
37,5.108,5.185
38,5.5291,4.5169
39,5.6358,4.8047
40,5.2015,4.9496
41,5.0506,4.8948
42,5.2128,4.6984
43,5.1173,5.5292
44,5.1745,4.8013
45,5.3035,4.7869
46,5.3091,4.7275
47,5.0995,4.5808
48,5.1247,4.4318
49,5.2891,4.9508
50,3.9079,6.0221
51,4.3878,5.9491
52,3.4918,5.7187
53,4.27,5.3672
54,4.722,5.2566
55,5.2319,4.703
56,5.2264,4.4896
57,5.0939,4.9504
58,5.4648,4.8189
59,5.1135,5.0118
60,4.9853,4.9767
61,5.3284,4.8871
62,5.1134,4.7846
63,5.224,4.6632
64,5.2225,4.7194
65,5.1467,4.4734
66,5.1869,4.4248
67,5.4562,4.4739
68,5.3707,4.8755
69,4.9447,4.8095
70,5.1625,5.0749
71,5.3621,4.6899
72,5.2593,4.4014
73,5.1874,4.5605
74,5.2509,4.7759
75,5.2965,4.364
76,5.2223,5.1944
77,4.7735,5.3022
78,5.4363,4.5119
79,5.2391,4.7251
80,5.3461,4.6779
81,5.1816,4.8102
82,5.3076,4.368
83,5.0965,4.3643
84,4.9923,5.0217
85,5.0156,4.8391
86,5.264,4.3477
87,5.2493,4.4255
88,5.0859,5.0347
89,4.974,5.0121
90,5.0792,5.1665
91,5.1458,4.8515
92,5.1799,4.8253
93,5.2722,4.7867
94,4.9022,5.1916
95,5.0233,4.6721
96,5.1554,4.6519
97,5.0874,4.9595
98,5.0314,4.7661
99,5.0884,4.6711
100,3.92,5.5834
101,4.2013,5.4186
102,3.6842,6.2584
103,4.4479,5.4795
104,4.9348,4.8087
105,5.1915,4.4138
106,5.2954,4.5768
107,4.927,4.9167
108,4.9147,5.1983
109,5.2371,5.0664
110,5.1611,4.7267
111,4.7822,4.5535
112,5.246,4.8775
113,5.3892,4.8245
114,5.3013,4.537
115,5.3129,4.4909
116,5.1529,4.5967
117,5.3519,4.3682
118,4.9661,4.5915
119,5.1269,4.4015
120,5.3371,4.4309
121,5.2559,4.5837
122,5.284,5.0206
123,5.0821,4.7123
124,5.0113,5.0419
125,5.2411,5.0206
126,5.3366,4.8015
127,5.0305,4.97
128,4.8608,4.6671
129,5.2114,4.6986
130,5.3298,4.999
131,5.2213,4.9677
132,5.2644,4.6746
133,5.1715,4.7676
134,5.1123,4.8914
135,4.9855,4.9968
136,4.8989,5.0429
137,5.2188,5.201
138,5.2206,4.6412
139,5.085,4.4621
140,5.2196,5.0452
141,5.4235,4.6302
142,5.3462,5.3322
143,4.9693,4.8755
144,5.1711,5.2156
145,5.2069,5.2605
146,5.1769,4.9555
147,5.2088,5.0154
148,4.9813,4.8728
149,5.2071,5.1273
150,3.6257,6.0126
151,4.7741,5.4891
152,4.8578,5.2935
153,5.0594,4.74
154,5.017,4.3891
155,5.3587,4.5652
156,4.9893,4.4515
157,5.3662,4.6687
158,4.9952,5.0533
159,5.2631,4.5751
160,4.9947,4.5322
161,5.0044,4.8044
162,5.1969,4.6799
163,5.1401,4.8057
164,5.3646,4.7538
165,5.2788,4.4908
166,5.0351,4.8491
167,5.1728,4.5963
168,5.139,4.8309
169,5.27,5.0924
170,5.4837,4.5057
171,5.2011,5.1337
172,5.2468,4.6681
173,5.1241,4.8866
174,5.0104,5.2345
175,5.0459,4.8752
176,5.1419,4.5504
177,5.4577,5.4787
178,5.009,4.3443
179,5.1068,4.4678
180,4.8923,4.4547
181,5.035,4.9354
182,5.1267,5.032
183,5.1217,4.6499
184,5.0411,4.3734
185,5.0793,4.7616
186,5.0928,4.7957
187,5.178,4.2344
188,5.2469,4.5847
189,5.3079,4.6855
190,5.1122,4.8978
191,5.3251,4.6701
192,5.1618,4.8534
193,5.1612,4.2942
194,5.3847,4.8357
195,5.6139,4.542
196,5.2464,4.9032
197,5.302,4.7167
198,5.2981,4.9094
199,5.4123,5.1242
200,3.8186,6.066
201,4.7498,5.1769
202,4.6519,5.2152
203,5.1249,5.2143
204,5.2005,5.2178
205,5.1746,4.9109
206,4.9835,4.9326
207,5.1562,5.1524
208,5.0126,4.5051
209,5.3038,4.784
210,5.3651,5.2364
211,5.4203,5.1243
212,5.1934,4.8814
213,5.1581,4.4803
214,5.0831,4.635
215,5.3563,4.6368
216,5.3426,4.5476
217,5.06,4.6678
218,5.1879,4.8887
219,5.0683,5.0652
220,5.0413,4.7532
221,5.069,4.3924
222,5.5523,4.5058
223,5.2528,4.9663
224,5.0286,4.7045
225,5.115,5.3501
226,5.0588,5.0081
227,5.4288,4.6378
228,5.5247,4.792
229,5.1197,4.4965
230,5.1098,4.8913
231,5.1399,4.7936
232,5.1644,4.5653
233,5.4911,4.9631
234,5.0443,4.7798
235,4.95,4.678
236,5.194,5.2843
237,5.0351,4.7883
238,5.0704,4.8948
239,5.0833,5.2008
240,5.2946,4.9079
241,5.1823,4.8941
242,5.3281,4.5436
243,5.2157,4.8681
244,5.0795,4.8174
245,5.0849,4.2362
246,5.4243,4.5805
247,5.2824,4.8562
248,4.9498,4.8152
249,5.3293,4.9424
250,3.9941,5.7058
251,3.8884,5.2889
252,3.7665,6.2606
253,4.5581,4.6574
254,4.8397,4.7573
255,5.0291,4.7383
256,5.1837,4.9078
257,5,4.4112
258,5.3861,4.2277
259,5.1184,4.9387
260,4.9901,4.7635
261,5.1128,5.1406
262,5.0518,5.1154
263,4.9347,4.8584
264,5.3704,4.8075
265,5.1747,4.9752
266,5.3963,4.6516
267,5.0245,5.3416
268,5.0773,4.6959
269,5.3594,4.8618
270,5.0572,4.8008
271,5.435,5.0906
272,5.2597,5.0186
273,5.3134,4.5895
274,5.2362,4.8324
275,5.2814,4.8812
276,5.2717,4.6567
277,5.0623,5.0149
278,5.2466,4.719
279,5.3568,4.8856
280,4.9908,4.5689
281,5.3026,4.7708
282,5.1248,4.9673
283,5.1442,4.6952
284,5.253,4.9731
285,4.834,5.0916
286,5.2863,4.5096
287,5.1985,4.6529
288,5.2109,4.5054
289,5.3387,4.9141
290,5.167,4.5023
291,4.9373,4.9638
292,4.9431,4.6494
293,5.1584,4.4448
294,5.1338,4.9547
295,5.3813,4.85
296,5.3601,4.6721
297,4.9441,5.0026
298,5.0569,4.9962
299,5.3689,5.0152
300,3.9865,6.1347
301,4.7214,5.0487
302,4.7332,5.3297
303,4.8853,4.887
304,5.2401,4.7318
305,5.0646,4.8106
306,5.0581,5.116
307,5.3866,4.5704
308,5.1972,5.0292
309,5.2061,4.908
310,5.2075,4.8281
311,5.0524,4.524
312,4.7635,4.7208
313,5.2983,5.0555
314,5.1393,4.9397
315,5.1895,4.9102
316,5.1624,4.8015
317,5.2093,5.0777
318,5.2855,4.8984
319,5.1649,4.644
320,5.128,4.7664
321,4.9547,4.4289
322,5.2325,4.8141
323,4.7166,4.9556
324,5.2726,4.4319
325,5.1857,5.0444
326,5.2828,4.6719
327,5.3535,4.8647
328,5.0813,4.7989
329,5.3524,4.4624
330,4.9591,4.9307
331,5.154,4.7768
332,5.2976,4.949
333,5.1372,4.711
334,4.997,4.6569
335,5.3381,4.81
336,5.1186,4.7366
337,5.3542,4.8968
338,5.2255,4.9976
339,5.2716,4.6942
340,5.1389,4.6512
341,5.3563,4.5915
342,5.3255,5.001
343,5.1259,4.6558
344,5.2457,4.8851
345,5.2318,5.1969
346,5.1904,4.5034
347,5.1566,4.8344
348,5.0989,5.1692
349,4.9393,4.9563
350,3.967,5.7202
351,4.413,5.2053
352,4.6624,5.1968
353,4.7659,4.985
354,5.2788,4.59
355,4.9503,4.5826
356,4.9499,4.8092
357,5.0492,4.1935
358,5.3853,4.7494
359,4.965,5.1239
360,5.5546,4.6857
361,5.3331,4.8582
362,4.9895,4.936
363,5.4176,4.6863
364,5.1662,4.5291
365,5.4919,4.4564
366,5.2853,4.784
367,5.2125,5.0325
368,5.1807,5.4073
369,5.2129,4.9052
370,5.2415,4.4916
371,4.9059,5.3302
372,5.327,4.752
373,5.1042,5.4442
374,5.3815,4.6494
375,5.2522,4.8368
376,5.1778,4.7797
377,5.5434,4.5885
378,5.1216,4.5118
379,5.3434,4.777
380,4.8305,5.1362
381,5.1338,4.8127
382,5.1292,4.9953
383,4.9453,5.4
384,5.6644,4.6686
385,5.2711,4.9049
386,5.1258,4.903
387,5.1436,4.6514
388,5.2082,5.0791
389,5.2385,5.181
390,5.0016,5.192
391,4.9822,4.7664
392,5.1785,4.8501
393,5.1816,4.9547
394,5.4634,4.8325
395,5.1723,4.8262
396,5.2999,4.6011
397,5.1231,4.405
398,5.2537,4.5887
399,5.1038,4.6091
400,4.0038,5.5232
401,4.7968,5.2383
402,4.6213,5.4918
403,5.1874,4.9587
404,5.2051,4.856
405,4.9226,5.2843
406,5.3028,4.9118
407,4.9144,4.5324
408,4.9985,4.9873
409,5.2611,4.4827
410,5.0583,4.6493
411,5.3395,4.1862
412,5.234,4.9047
413,5.284,5.1578
414,5.3844,4.7714
415,5.3914,4.7338
416,5.1578,4.7959
417,4.9725,4.4481
418,5.3428,4.6323
419,5.2274,4.5479
420,5.2458,4.8455
421,5.2375,4.8219
422,5.3399,5.1028
423,5.3053,4.9415
424,5.2547,4.4026
425,5.4099,4.9888
426,4.9614,4.7632
427,5.1913,4.8393
428,5.2585,4.477
429,5.0418,4.5635
430,4.9475,4.844
431,5.1297,4.6177
432,5.0101,4.7104
433,5.4079,4.5757
434,5.0963,4.7627
435,5.1159,4.2244
436,5.3519,5.0552
437,5.519,4.5077
438,5.4415,4.798
439,5.3359,4.574
440,4.9885,4.8196
441,5.3559,4.6189
442,5.2378,4.6205
443,5.155,4.9976
444,4.8543,4.5458
445,4.9657,4.5159
446,5.1258,4.438
447,5.2245,4.8415
448,5.338,4.7226
449,5.1044,4.6004
450,3.9052,5.8549
451,4.6148,4.907
452,4.8354,5.4081
453,4.8832,4.4508
454,5.4126,4.7298
455,5.3009,4.7558
456,5.1323,4.5571
457,5.4209,4.6106
458,5.0313,5.2121
459,5.2592,4.7855
460,4.8562,4.806
461,5.2928,4.2541
462,5.1471,4.7493
463,5.1162,4.7194
464,4.9753,4.9423
465,4.946,4.9172
466,5.2987,5.1812
467,5.0644,4.8122
468,5.0348,5.009
469,5.5238,4.5641
470,5.3391,4.6385
471,5.1768,4.4372
472,5.0072,5.0148
473,5.345,4.9017
474,5.1898,5.0116
475,5.2979,4.6347
476,5.1276,5.0053
477,5.2393,4.8458
478,5.1985,5.1001
479,5.3671,4.5001
480,4.9219,4.9652
481,5.0894,4.7684
482,4.9875,4.7581
483,5.2924,5.187
484,5.1478,4.9299
485,5.3851,4.6109
486,5.0285,4.6085
487,5.3013,4.4138
488,5.1007,4.9476
489,5.1085,4.7089
490,5.1479,4.5099
491,5.4681,4.8694
492,5.206,4.5279
493,5.209,4.5455
494,5.1858,4.6933
495,5.3305,5.1921
496,5.2435,4.6513
497,5.4466,4.9617
498,5.3619,4.7225
499,5.1213,4.5936
500,3.9193,5.6842
501,4.4041,5.6531
502,4.7076,5.0938
503,5.1027,5.1563
504,5.4226,4.4189
505,5.5036,5.0733
506,5.1476,4.8943
507,5.0967,4.9831
508,5.2905,4.8
509,5.2666,4.9923
510,5.2137,4.4164
511,5.1347,5.1287
512,5.2426,4.5208
513,5.1315,4.8496
514,4.955,4.9868
515,5.0855,4.9447
516,5.2045,4.4516
517,5.1187,5.1192
518,5.352,5.0986
519,5.263,4.498
520,5.2357,4.8066
521,5.4593,4.5125
522,5.3359,4.9062
523,5.355,4.9648
524,5.068,4.4159
525,5.3266,5.2655
526,5.1309,4.353
527,5.153,4.4174
528,5.3396,4.7774
529,5.1422,4.6901
530,5.0468,4.9264
531,5.4167,5.0638
532,5.3001,4.8824
533,5.2065,4.6253
534,5.1639,5.0381
535,5.2917,4.6593
536,5.0482,4.6789
537,5.1413,4.6266
538,4.9752,4.8711
539,5.3053,4.5792
540,5.0542,5.0492
541,5.0563,4.4531
542,5.126,4.2652
543,5.4184,4.8773
544,5.4756,5.0456
545,5.0962,5.1327
546,5.0054,4.5695
547,5.1503,4.5654
548,5.3216,4.7553
549,5.0519,4.4452
550,3.9295,6.4829
551,4.0524,6.0767
552,3.8088,5.9799
553,4.5216,5.052
554,5.036,5.0751
555,5.2188,4.7393
556,4.973,4.6867
557,5.1979,5.1231
558,5.0689,4.7076
559,5.0623,4.6124
560,5.2643,4.6042
561,5.1483,4.926
562,5.3326,4.9898
563,5.383,5.0024
564,5.1243,4.8272
565,5.1512,4.6184
566,5.3311,4.328
567,5.1685,4.7503
568,5.3028,4.902
569,5.2097,4.741
570,5.6312,4.5348
571,5.4604,4.9222
572,5.1801,4.7837
573,5.1938,4.8248
574,5.2147,4.7101
575,5.4236,5.072
576,5.0169,4.9813
577,5.1655,4.6415
578,5.308,4.4217
579,5.3666,4.8372
580,5.2055,5.2549
581,5.3939,4.4403
582,5.2125,4.8983
583,5.3826,4.8571
584,5.3367,4.9137
585,5.1745,4.9988
586,5.4107,4.8864
587,5.1895,4.6017
588,5.2633,5.1476
589,5.3011,4.7101
590,5.4251,5.0481
591,5.1404,4.6342
592,5.4074,4.6978
593,5.287,4.4435
594,5.5631,4.814
595,5.3384,4.6882
596,4.802,4.7382
597,5.3984,4.7086
598,4.9577,5.0136
599,5.1176,5.238
600,3.564,5.8403
601,4.2212,5.8159
602,3.4514,6.459
603,4.062,5.4734
604,5.1864,5.4076
605,5.3761,4.8051
606,5.4059,5.0051
607,5.2672,4.6236
608,4.9612,4.7736
609,5.3364,4.5861
610,5.4004,4.7444
611,5.0561,4.6049
612,5.0142,4.7552
613,5.2435,4.6289
614,5.2932,4.983
615,5.1373,5.1841
616,5.097,5.1255
617,4.989,4.4821
618,5.3913,4.7964
619,5.1114,5.2321
620,5.0305,4.7643
621,5.4737,4.1674
622,5.1827,4.8832
623,5.243,4.7248
624,5.3316,4.4999
625,5.1285,5.16
626,5.2874,4.8759
627,5.0777,4.7481
628,4.95,5.109
629,4.9877,4.8127
630,5.3313,5.1339
631,5.0696,4.7886
632,5.1848,4.9214
633,5.2256,4.761
634,5.2518,4.5301
